airport_id,airport_code,city_name,state_name,country
8f53bfc2-dbc3-4250-ba8d-efbeb1bd7844,VPS,"Valparaiso, FL",Florida,USA
19454e84-eb3b-4b0e-9490-243e48c9731d,MFR,"Medford, OR",Oregon,USA
92547dc2-fb70-495d-a1cc-801010db9c4c,GCK,"Garden City, KS",Kansas,USA
c828a545-b00b-4abd-8457-48f663f19ebc,ORD,"Chicago, IL",Illinois,USA
968fccbb-03c5-4ca7-baf5-169e10fcb6e2,CLL,"College Station/Bryan, TX",Texas,USA
405a0cb0-9220-4876-99eb-8437a903241f,WRG,"Wrangell, AK",Alaska,USA
e7dcb1f2-a1d8-4205-8ec3-5f75745f7783,TXK,"Texarkana, AR",Arkansas,USA
3375bdbf-d0f8-4f00-a242-bb7666084db2,BQK,"Brunswick, GA",Georgia,USA
a62d378d-9e19-43ec-adb8-44bc3321c71d,SCK,"Stockton, CA",California,USA
33b82576-e3af-458d-b045-1ad5e1185618,MKK,"Hoolehua, HI",Hawaii,USA
b3deef8a-a538-4a27-952e-3480deb66139,BPT,"Beaumont/Port Arthur, TX",Texas,USA
8e2d19dc-ed1d-4797-b9ac-616e942dbac7,ROW,"Roswell, NM",New Mexico,USA
65e5a8f0-129c-4880-9370-7370fb35f485,BTV,"Burlington, VT",Vermont,USA
07d40d54-cd5a-4b68-9cde-9956fe8c8b63,EYW,"Key West, FL",Florida,USA
ff69fb06-0034-44ee-8b13-60571321a357,ISN,"Williston, ND",North Dakota,USA
c8d40bd8-4e8d-4ea4-8246-37dc0c00e5f0,ROC,"Rochester, NY",New York,USA
2e72079f-46b6-4414-8c8f-e90f226edae6,ISP,"Islip, NY",New York,USA
fd9b2755-b133-4dc4-aaec-602ad0814cfa,IAD,"Washington, DC",Virginia,USA
633b3c48-55a7-4b16-82f0-ddb6875f9425,CPR,"Casper, WY",Wyoming,USA
ffead702-fa15-4870-aff9-fbbe25adcf41,JHM,"Kapalua, HI",Hawaii,USA
27656c42-2c60-4c48-a350-759ae153fa8b,BNA,"Nashville, TN",Tennessee,USA
d42c6ba8-57b2-4264-98cb-5593cc091eb0,SMF,"Sacramento, CA",California,USA
79ea5975-b0dd-45b3-bba5-a5bdcf997b1d,TWF,"Twin Falls, ID",Idaho,USA
e811267b-a6a7-45e2-823f-edca96177216,CMX,"Hancock/Houghton, MI",Michigan,USA
cc2015aa-84c2-4ea0-86fc-b9a46ad21213,LAX,"Los Angeles, CA",California,USA
c064b98e-8757-483d-aa02-3a3a0e2f2c0a,PNS,"Pensacola, FL",Florida,USA
71736ae3-3580-4f1c-b136-f5f9a8b0941b,MDW,"Chicago, IL",Illinois,USA
5e7eab84-26eb-4a38-8b4b-6bc49ed1ba0d,TPA,"Tampa, FL",Florida,USA
d083034c-c92a-4d0b-812d-76be8c5b1f75,SBN,"South Bend, IN",Indiana,USA
7bc3b704-4ccd-4edb-8178-7df02e73058d,IAG,"Niagara Falls, NY",New York,USA
3fc7e121-da09-49d6-99ca-738a297ecbeb,LIT,"Little Rock, AR",Arkansas,USA
c6e42fa7-9f52-4315-87fb-545b690c013e,RDM,"Bend/Redmond, OR",Oregon,USA
a3b12773-42e4-4028-93fd-daadc59832a1,UIN,"Quincy, IL",Illinois,USA
79961f33-4f04-49bc-beef-0ca491a73569,SAF,"Santa Fe, NM",New Mexico,USA
b4b21304-bee0-42cd-9a7f-e7b6ef0dbd92,PIR,"Pierre, SD",South Dakota,USA
3789d393-c377-4686-bf1f-75e24a3f314d,MLB,"Melbourne, FL",Florida,USA
3dbb7b84-060e-436a-990d-807a78cae057,SUX,"Sioux City, IA",Iowa,USA
d2e6098f-7e27-47e4-8b53-a11bb8f59643,DRO,"Durango, CO",Colorado,USA
c96e9900-56a8-4da9-8828-bcea00336be3,VCT,"Victoria, TX",Texas,USA
19badf7e-0088-4569-9ea1-630d305afacb,VEL,"Vernal, UT",Utah,USA
8440cf73-8984-4a66-aaf6-66d12e6b05fd,BET,"Bethel, AK",Alaska,USA
725bb51a-6291-4373-89aa-a8509695ac4c,SGF,"Springfield, MO",Missouri,USA
3e4a864c-a9fb-4a3d-9d6a-1e875db21c8b,USA,"Concord, NC",North Carolina,USA
7f5f3674-5732-4bde-a16f-74516dd03100,MQT,"Marquette, MI",Michigan,USA
c3900184-6469-408b-a1e9-26a5f8a9719c,PSG,"Petersburg, AK",Alaska,USA
5fd8e6d0-251c-4dd6-8f62-afee254e21f4,SFB,"Sanford, FL",Florida,USA
49c82d77-3e3a-4811-8692-04f950eee613,TRI,"Bristol/Johnson City/Kingsport, TN",Tennessee,USA
6c763a40-2ceb-4a87-9c4a-4e244b4367bc,AVP,"Scranton/Wilkes-Barre, PA",Pennsylvania,USA
ceb2eb09-9ae5-4eb5-a33f-742cf785d845,LNY,"Lanai, HI",Hawaii,USA
a3c9363e-3acb-4b1f-8d42-eb6ead310d3b,ROA,"Roanoke, VA",Virginia,USA
2093c9f3-a351-471e-af39-c3bce588f750,RFD,"Rockford, IL",Illinois,USA
def739fc-4585-433d-b24c-c3febd92cdd9,SAN,"San Diego, CA",California,USA
68cc1ff0-ffe3-4caa-947e-b08e4c3fb364,ICT,"Wichita, KS",Kansas,USA
7b9ad96d-d341-4767-9323-42fce8970236,MAF,"Midland/Odessa, TX",Texas,USA
bdc211d3-3253-459b-af45-754e9e44b01e,SWO,"Stillwater, OK",Oklahoma,USA
14e66eaa-05c8-4210-bc2f-7f9a8246e621,CSG,"Columbus, GA",Georgia,USA
